customer_id,first_name,last_name,email,region
1,Ramon,Aguinaldo,ramon.aguinaldo.1@example.com,Luzon
2,Gloria,Remulla,gloria.remulla.2@example.com,Luzon
3,Joel,Castillo,joel.castillo.3@example.com,Luzon
4,Loren,Villar,loren.villar.4@example.com,NCR
5,Pedro,Arroyo,pedro.arroyo.5@example.com,NCR
6,Isko,Revilla,isko.revilla.6@example.com,Luzon
7,Jinggoy,Perez,jinggoy.perez.7@example.com,Mindanao
8,Antonio,Magsaysay,antonio.magsaysay.8@example.com,Visayas
9,Migz,Pimentel,migz.pimentel.9@example.com,Visayas
10,Rodolfo,Sotto,rodolfo.sotto.10@example.com,Mindanao
11,Vico,Biazon,vico.biazon.11@example.com,Mindanao
12,JV,Pacquiao,jv.pacquiao.12@example.com,Visayas
13,Ferdinand,Quirino,ferdinand.quirino.13@example.com,NCR
14,Bongbong,Garcia,bongbong.garcia.14@example.com,Mindanao
15,Carlos,Dela Cruz,carlos.delacruz.15@example.com,Mindanao
16,Sara,Mabini,sara.mabini.16@example.com,Visayas
17,Sara,Biazon,sara.biazon.17@example.com,NCR
18,Rodolfo,Lopez,rodolfo.lopez.18@example.com,NCR
19,Abby,Castillo,abby.castillo.19@example.com,Mindanao
20,Ed,Reyes,ed.reyes.20@example.com,Luzon
21,Sherwin,Cruz,sherwin.cruz.21@example.com,Visayas
22,Vic,Arroyo,vic.arroyo.22@example.com,Mindanao
23,Juan,Revilla,juan.revilla.23@example.com,Visayas
24,Mario,Gatchalian,mario.gatchalian.24@example.com,Luzon
25,Joey,Lapid,joey.lapid.25@example.com,Luzon
26,Vic,Cayetano,vic.cayetano.26@example.com,Mindanao
27,Noli,Aquino,noli.aquino.27@example.com,NCR
28,Loren,Moreno,loren.moreno.28@example.com,Mindanao
29,Grace,Pangilinan,grace.pangilinan.29@example.com,NCR
30,Kiko,Lapid,kiko.lapid.30@example.com,NCR
31,Rex,Del Pilar,rex.delpilar.31@example.com,Visayas
32,Lito,Cayetano,lito.cayetano.32@example.com,Mindanao
33,Renato,Angara,renato.angara.33@example.com,NCR
34,Cory,Dela Cruz,cory.delacruz.34@example.com,Visayas
35,Grace,Revilla,grace.revilla.35@example.com,Mindanao
36,Dick,Silang,dick.silang.36@example.com,Visayas
37,Ferdinand,Zubiri,ferdinand.zubiri.37@example.com,NCR
38,Richard,Arroyo,richard.arroyo.38@example.com,Luzon
39,Rafael,Duterte,rafael.duterte.39@example.com,NCR
40,Romeo,Villar,romeo.villar.40@example.com,Visayas
41,Leila,Castro,leila.castro.41@example.com,NCR
42,Antonio,Padilla,antonio.padilla.42@example.com,Mindanao
43,Joel,Marcos,joel.marcos.43@example.com,Luzon
44,Rex,Pimentel,rex.pimentel.44@example.com,NCR
45,Jejomar,Duterte,jejomar.duterte.45@example.com,Mindanao
46,Alan,Flores,alan.flores.46@example.com,Mindanao
47,Grace,Aquino,grace.aquino.47@example.com,Visayas
48,JV,Mabini,jv.mabini.48@example.com,Mindanao
49,Joy,Luna,joy.luna.49@example.com,Visayas
50,Gloria,Bonifacio,gloria.bonifacio.50@example.com,NCR
51,Leni,Reyes,leni.reyes.51@example.com,Luzon
52,Romeo,Tan,romeo.tan.52@example.com,Mindanao
